Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8909152,Attachments,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",0,3.87,Dutton,Hardcover,323,2011,2011,,2023/01/15,to-read,to-read (#87),to-read,,,,0,0
953972,The Intelligent Investor: A book of practical counsel,Benjamin; Dodd Graham,"Graham, Benjamin; Dodd",,"=""0060115912""","=""9780060115913""",0,4.25,Harpercollins,Hardcover,,1978,1949,,2023/01/12,to-read,to-read (#77),to-read,,,,0,0
664534,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Clayton M. Christensen,"Christensen, Clayton M.",,"=""0875845851""","=""9780875845852""",0,4.04,Harvard Business Review Press,Hardcover,252,1997,1997,,2022/12/30,to-read,to-read (#61),to-read,,,,0,0
51156314,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",0,4.35,Harriman House,Paperback,256,2020,2020,,2023/01/12,to-read,to-read (#76),to-read,,,,0,0
6043946,The 50th Law,50 Cent,"Cent, 50",Robert Greene,"=""006177460X""","=""9780061774607""",0,4.17,HarperStudio,Imitation Leather,291,2009,2008,,2023/01/12,to-read,to-read (#79),to-read,,,,0,0
25131230,Rationality: From AI to Zombies,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""1939311152""","=""9781939311153""",0,4.33,Machine Intelligence Research Institute,Kindle Edition,1813,2015,2015,,2023/01/13,to-read,to-read (#86),to-read,,,,0,0
13589153,How to Create a Mind: The Secret of Human Thought Revealed,Ray Kurzweil,"Kurzweil, Ray",,"=""0670025291""","=""9780670025299""",0,3.97,Viking,Hardcover,336,2012,2012,,2023/01/13,to-read,to-read (#85),to-read,,,,0,0
83518,The Singularity is Near: When Humans Transcend Biology,Ray Kurzweil,"Kurzweil, Ray",,"=""0143037889""","=""9780143037880""",0,3.93,Penguin ,Paperback,652,2006,2005,,2023/01/13,to-read,to-read (#84),to-read,,,,0,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",0,4.02,Random House Audio Publishing Group,Audio CD,12,2017,2017,,2023/01/13,ai-books,ai-books (#1),ai-books,,,,0,0
24612233,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,"Domingos, Pedro",,"=""0465065708""","=""9780465065707""",0,3.75,Basic Books,Hardcover,352,2015,2015,,2023/01/13,to-read,to-read (#83),to-read,,,,0,0
43565360,Artificial Intelligence: A Guide for Thinking Humans,Melanie  Mitchell,"Mitchell, Melanie",,"=""0374257833""","=""9780374257835""",0,4.39,"Farrar, Straus and Giroux",Hardcover,336,2019,2019,,2023/01/13,to-read,to-read (#82),to-read,,,,0,0
36484703,Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,"Agrawal, Ajay","Joshua Gans, Avi Goldfarb","=""1633695689""","=""""",0,3.88,Harvard Business Review Press,Kindle Edition,328,2018,,,2023/01/13,to-read,to-read (#81),to-read,,,,0,0
21192565,The Concise Mastery (The Robert Greene Collection Book 1),Robert Greene,"Greene, Robert",,"=""""","=""""",0,4.40,Profile Books,Kindle Edition,208,2014,2014,,2023/01/12,to-read,to-read (#78),to-read,,,,0,0
38900091,The CEO Next Door: The 4 Behaviours that Transform Ordinary People into World Class Leaders,Elena L. Botelho,"Botelho, Elena L.","Kim R. Powell, Kim Powell, Tahl Raz","=""""","=""""",0,4.02,Virgin Digital,Kindle Edition,310,2018,2018,,2023/01/12,to-read,to-read (#75),to-read,,,,0,0
18224060,The Concise 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""""","=""""",0,4.16,Viva Books,Hardcover,195,2011,1999,,2023/01/11,currently-reading,currently-reading (#8),currently-reading,,,,1,0
61121861,The Confident & Competent New Manager: How to Rapidly Rise to Success in Your First Leadership Role,Ramona Shaw,"Shaw, Ramona",,"=""""","=""""",0,4.00,,Kindle Edition,148,2022,,,2023/01/11,to-read,to-read (#74),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.08,St. Martin's Press,Hardcover,336,2017,2017,,2023/01/11,to-read,to-read (#73),to-read,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",5,4.04,Simon & Schuster,Hardcover,335,2018,2018,2023/01/09,2022/07/11,,,read,,,,1,0
13167795,Marie Curie and Her Daughters: The Private Lives of Science's First Family (MacSci),Shelley Emling,"Emling, Shelley",,"=""0230115713""","=""9780230115712""",0,3.73,St. Martin's Press,Hardcover,219,2012,2012,,2023/01/08,to-read,to-read (#72),to-read,,,,0,0
17707768,Jony Ive: The Genius Behind Apple's Greatest Products,Leander Kahney,"Kahney, Leander",,"=""159184617X""","=""9781591846178""",0,3.99,Portfolio,Hardcover,274,2013,2013,,2023/01/08,to-read,to-read (#71),to-read,,,,0,0
11909371,Socrates: A Man for Our Times,Paul  Johnson,"Johnson, Paul",,"=""0670023035""","=""9780670023035""",0,3.71,Viking,Hardcover,224,2011,2011,,2023/01/08,to-read,to-read (#70),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.48,Simon & Schuster,ebook,320,2022,2022,,2023/01/08,to-read,to-read (#69),to-read,,,,0,0
74034,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,"Postman, Neil",Andrew Postman,"=""014303653X""","=""9780143036531""",0,4.15,Penguin Books,Paperback,184,2005,1985,,2023/01/08,to-read,to-read (#68),to-read,,,,0,0
43708708,White Fragility: Why It’s So Hard for White People to Talk About Racism,Robin DiAngelo,"DiAngelo, Robin","Michael Eric Dyson, Manon Smits, Rob Kuitenbrouwer, Amy Landon","=""0807071161""","=""9780807071168""",0,4.18,Beacon Press,Audiobook,7,2018,2018,,2023/01/08,to-read,to-read (#67),to-read,,,,0,0
58095,Suicide: A Study in Sociology,Émile Durkheim,"Durkheim, Émile","John A. Spaulding, George Simpson","=""0684836327""","=""9780684836324""",0,3.85,Free Press,Paperback,405,1997,1897,,2023/01/08,to-read,to-read (#66),to-read,,,,0,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",0,3.96,Back Bay Books,Paperback,296,2007,2005,,2023/01/08,to-read,to-read (#65),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.02,"Little, Brown and Company",Hardcover,388,2019,2019,,2023/01/08,to-read,to-read (#64),to-read,,,,0,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",0,4.00,Time Warner Book Group,Paperback,301,2002,2000,,2023/01/08,to-read,to-read (#63),to-read,,,,0,0
42291479,The Extended Mind: The Power of Thinking Outside the Brain,Annie Murphy Paul,"Paul, Annie Murphy",,"=""""","=""""",0,4.05,Mariner Books,Kindle Edition,352,2021,2021,,2022/12/30,to-read,to-read (#62),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2022/12/26,currently-reading,currently-reading (#7),currently-reading,,,,1,0
59651553,"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.60,Berkley,Kindle Edition,139,2022,2022,,2022/12/26,to-read,to-read (#60),to-read,,,,0,0
59651555,"Stuck with You (The STEMinist Novellas, #2)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.59,Berkley,Kindle Edition,127,2022,2022,,2022/12/26,to-read,to-read (#59),to-read,,,,0,0
59651557,"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.68,Berkley,Kindle Edition,112,2022,2022,,2022/12/26,to-read,to-read (#58),to-read,,,,0,0
59571699,Love on the Brain,Ali Hazelwood,"Hazelwood, Ali",,"=""1408725789""","=""""",3,3.93,Sphere,Kindle Edition,368,2022,2022,,2021/11/18,,,read,,,,1,0
40215120,How to Own the Room: Women and the Art of Brilliant Speaking,Viv Groskop,"Groskop, Viv",,"=""""","=""""",0,3.70,Transworld Digital,Kindle Edition,235,2018,,,2022/11/11,to-read,to-read (#57),to-read,,,,0,0
